officename,pincode,officetype,deliverystatus,divisionname,regionname,circlename,taluk,districtname,statename,telephone,relatedsuboffice,relatedheadoffice,discom
Rampura Kirwaha B.O,285125,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,,jhansi,UTTAR PRADESH,,Kuthond S.O,Orai H.O,DVVNL
Rampura S.O (Jalaun),285127,S.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jalaun,jalaun,UTTAR PRADESH,05168-285453,,Orai H.O,DVVNL
Ranguwan B.O,284121,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,jhansi,UTTAR PRADESH,,Baragaon S.O (Jhansi),Jhansi H.O,DVVNL
Ranipur S.O (Jhansi),284205,S.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mauranipur,jhansi,UTTAR PRADESH,05178-250021,,Jhansi H.O,DVVNL
Ratausa B.O,284205,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mauranipur,jhansi,UTTAR PRADESH,,Ranipur S.O (Jhansi),Jhansi H.O,DVVNL
Rath Road Orai S.O,285001,S.O,Non-Delivery,Jhansi,Agra,Uttar Pradesh,Orai,jalaun,UTTAR PRADESH,05162-111111,,Orai H.O,DVVNL
Rendhar B.O,285121,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jalaun,jalaun,UTTAR PRADESH,,Bangra S.O,Orai H.O,DVVNL
Reo B.O,284303,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Moth,jhansi,UTTAR PRADESH,,Moth S.O,Jhansi H.O,DVVNL
Rewan B.O,284204,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mauranipur,jhansi,UTTAR PRADESH,,Mauranipur S.O,Jhansi H.O,DVVNL
Rirua B.O,285202,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Kalpi,jalaun,UTTAR PRADESH,,Ata S.O,Orai H.O,DVVNL
Romai Mustkil B.O,285125,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Madhogarh,jalaun,UTTAR PRADESH,,Kuthond S.O,Orai H.O,DVVNL
Ronda B.O,284403,B.O directly a/w Head Office,Delivery,Jhansi,Agra,Uttar Pradesh,Lalitpur,lalitpur,UTTAR PRADESH,,,Lalitpur H.O,DVVNL
Roni Baragaon B.O,284204,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,,jhansi,UTTAR PRADESH,,Mauranipur S.O,Jhansi H.O,DVVNL
Roora Addu B.O,285001,B.O directly a/w Head Office,Delivery,Jhansi,Agra,Uttar Pradesh,Orai,jalaun,UTTAR PRADESH,,,Orai H.O,DVVNL
Roora Jaitia B.O,285125,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Madhogarh,jalaun,UTTAR PRADESH,,Kuthond S.O,Orai H.O,DVVNL
Rora Bhatpura B.O,284204,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mauranipur,jhansi,UTTAR PRADESH,,Mauranipur S.O,Jhansi H.O,DVVNL
Rudrapura B.O,285127,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Madhogarh,jalaun,UTTAR PRADESH,,Rampura S.O (Jalaun),Orai H.O,DVVNL
Rupa Dhamna B.O,284204,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mauranipur,jhansi,UTTAR PRADESH,,Mauranipur S.O,Jhansi H.O,DVVNL
Rura Sirsa B.O,285121,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jalaun,jalaun,UTTAR PRADESH,,Bangra S.O,Orai H.O,DVVNL
Sadhumar B.O,284404,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mahroni,lalitpur,UTTAR PRADESH,,Madawra S.O,Lalitpur H.O,DVVNL
Sadupura B.O,285205,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Konch,jalaun,UTTAR PRADESH,,Konch S.O (Jalaun),Orai H.O,DVVNL
Sahav B.O,285123,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jalaun,jalaun,UTTAR PRADESH,,Jalaun S.O,Orai H.O,DVVNL
Said Nagar B.O,285223,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Konch,jalaun,UTTAR PRADESH,,Kotra S.O (Jalaun),Orai H.O,DVVNL
Saidpur B.O,284404,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mahroni,lalitpur,UTTAR PRADESH,,Madawra S.O,Lalitpur H.O,DVVNL
Sainyargate B.O,284002,B.O,Non-Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,jhansi,UTTAR PRADESH,,Jhansi City S.O,Jhansi H.O,DVVNL
Saipura B.O,284204,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mauranipur,jhansi,UTTAR PRADESH,,Mauranipur S.O,Jhansi H.O,DVVNL
Sajera B.O,285206,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Konch,jalaun,UTTAR PRADESH,,Nadigaon S.O,Orai H.O,DVVNL
Sakin B.O,284304,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Moth,jhansi,UTTAR PRADESH,,Samthar S.O,Jhansi H.O,DVVNL
Sakrar B.O,284205,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mauranipur,jhansi,UTTAR PRADESH,,Ranipur S.O (Jhansi),Jhansi H.O,DVVNL
Salabad B.O,285123,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jalaun,jalaun,UTTAR PRADESH,,Jalaun S.O,Orai H.O,DVVNL
Salaiyya Buzurg B.O,285205,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Konch,jalaun,UTTAR PRADESH,,Konch S.O (Jalaun),Orai H.O,DVVNL
Sami B.O,285205,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,,jalaun,UTTAR PRADESH,,Konch S.O (Jalaun),Orai H.O,DVVNL
Samthar S.O,284304,S.O,Delivery,Jhansi,Agra,Uttar Pradesh,,jhansi,UTTAR PRADESH,05170-283309,,Jhansi H.O,DVVNL
Sandhi B.O,285202,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Kalpi,jalaun,UTTAR PRADESH,,Ata S.O,Orai H.O,DVVNL
Sanori B.O,284126,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Talbehat,lalitpur,UTTAR PRADESH,,Talbehat S.O,Lalitpur H.O,DVVNL
Sarawan B.O,285123,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jalaun,jalaun,UTTAR PRADESH,,Jalaun S.O,Orai H.O,DVVNL
Sarol B.O,284121,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,jhansi,UTTAR PRADESH,,Baragaon S.O (Jhansi),Jhansi H.O,DVVNL
Sarr B.O,285121,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jalaun,jalaun,UTTAR PRADESH,,Bangra S.O,Orai H.O,DVVNL
Sarsai B.O,285123,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jalaun,jalaun,UTTAR PRADESH,,Jalaun S.O,Orai H.O,DVVNL
Sarsela B.O,285202,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Kalpi,jalaun,UTTAR PRADESH,,Ata S.O,Orai H.O,DVVNL
Sarsend B.O,284126,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Talbehat,lalitpur,UTTAR PRADESH,,Talbehat S.O,Lalitpur H.O,DVVNL
Sarsenda B.O,284202,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,,jhansi,UTTAR PRADESH,,Gursarai S.O,Jhansi H.O,DVVNL
Satarwans B.O,284403,B.O directly a/w Head Office,Delivery,Jhansi,Agra,Uttar Pradesh,Lalitpur,lalitpur,UTTAR PRADESH,,,Lalitpur H.O,DVVNL
Satoh B.O,285201,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Konch,jalaun,UTTAR PRADESH,,Ait S.O,Orai H.O,DVVNL
Saujana B.O,284405,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mahroni,lalitpur,UTTAR PRADESH,,Mahroni S.O,Lalitpur H.O,DVVNL
Semri B.O,284303,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Moth,jhansi,UTTAR PRADESH,,Moth S.O,Jhansi H.O,DVVNL
Sersa B.O,284306,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,,jhansi,UTTAR PRADESH,,Poonchh S.O,Jhansi H.O,DVVNL
Serwans Kalan B.O,284126,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Talbehat,lalitpur,UTTAR PRADESH,,Talbehat S.O,Lalitpur H.O,DVVNL
Serwans Khurd B.O,284403,B.O directly a/w Head Office,Delivery,Jhansi,Agra,Uttar Pradesh,Lalitpur,lalitpur,UTTAR PRADESH,,,Lalitpur H.O,DVVNL
Sesha B.O,284306,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,,jhansi,UTTAR PRADESH,,Poonchh S.O,Jhansi H.O,DVVNL
Shahjadpura B.O,285001,B.O directly a/w Head Office,Delivery,Jhansi,Agra,Uttar Pradesh,Orai,jalaun,UTTAR PRADESH,,,Orai H.O,DVVNL
Shahjahanpur B.O,285202,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Kalpi,jalaun,UTTAR PRADESH,,Ata S.O,Orai H.O,DVVNL
Shahjahanpur B.O,284303,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Moth,jhansi,UTTAR PRADESH,,Moth S.O,Jhansi H.O,DVVNL
Shankarpur B.O,285125,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Madhogarh,jalaun,UTTAR PRADESH,,Kuthond S.O,Orai H.O,DVVNL
Sheikhpur Ahir B.O,285125,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Madhogarh,jalaun,UTTAR PRADESH,,Kuthond S.O,Orai H.O,DVVNL
Sheikhpur Buzurg B.O,285128,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jalaun,jalaun,UTTAR PRADESH,,Hadrukh S.O,Orai H.O,DVVNL
Siaoni Khurd B.O,284205,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mauranipur,jhansi,UTTAR PRADESH,,Ranipur S.O (Jhansi),Jhansi H.O,DVVNL
Siaori B.O,284204,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mauranipur,jhansi,UTTAR PRADESH,,Mauranipur S.O,Jhansi H.O,DVVNL
Siddhisagar S.O,284403,S.O,Non-Delivery,Jhansi,Agra,Uttar Pradesh,Lalitpur ,lalitpur,UTTAR PRADESH,05176-276267,,Lalitpur H.O,DVVNL
Sidhpura B.O,285127,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Madhogarh,jalaun,UTTAR PRADESH,,Rampura S.O (Jalaun),Orai H.O,DVVNL
Sihari B.O,285126,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Madhogarh,jalaun,UTTAR PRADESH,,Madhogarh S.O (Jalaun),Orai H.O,DVVNL
Sihari Daoodpur B.O,285001,B.O directly a/w Head Office,Delivery,Jhansi,Agra,Uttar Pradesh,,jalaun,UTTAR PRADESH,,,Orai H.O,DVVNL
Sijari Buzurg B.O,284204,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mauranipur,jhansi,UTTAR PRADESH,,Mauranipur S.O,Jhansi H.O,DVVNL
Sikri Raja B.O,285123,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jalaun,jalaun,UTTAR PRADESH,,Jalaun S.O,Orai H.O,DVVNL
Sikri Vyas B.O,285223,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Konch,jalaun,UTTAR PRADESH,,Kotra S.O (Jalaun),Orai H.O,DVVNL
Silawan B.O,284405,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mahroni,lalitpur,UTTAR PRADESH,,Mahroni S.O,Lalitpur H.O,DVVNL
Silgan B.O,284403,B.O directly a/w Head Office,Delivery,Jhansi,Agra,Uttar Pradesh,Lalitpur,lalitpur,UTTAR PRADESH,,,Lalitpur H.O,DVVNL
Simardha B.O,284203,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Garautha,jhansi,UTTAR PRADESH,,Garautha S.O,Jhansi H.O,DVVNL
Simhara Kasimpur B.O,285130,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Madhogarh,jalaun,UTTAR PRADESH,,Madaripur S.O,Orai H.O,DVVNL
Simiriya B.O,284303,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,,jalaun,UTTAR PRADESH,,Moth S.O,Jhansi H.O,DVVNL
Simraha B.O,284127,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,jhansi,UTTAR PRADESH,,Bhattagaon S.O,Jhansi H.O,DVVNL
Simthari B.O,284301,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,jhansi,UTTAR PRADESH,,Chirgaon S.O (Jhansi),Jhansi H.O,DVVNL
Sindwaha B.O,284405,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mahroni,lalitpur,UTTAR PRADESH,,Mahroni S.O,Lalitpur H.O,DVVNL
Sipri Bazar S.O,284003,S.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,jhansi,UTTAR PRADESH,0510-2361178,,Jhansi H.O,DVVNL
Siron Kalan B.O,284124,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Lalitpur,lalitpur,UTTAR PRADESH,,Jakhaura S.O,Lalitpur H.O,DVVNL
Siron Madawra B.O,284404,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mahroni,lalitpur,UTTAR PRADESH,,Madawra S.O,Lalitpur H.O,DVVNL
Sirsa Dogarhi B.O,285121,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jalaun,jalaun,UTTAR PRADESH,,Bangra S.O,Orai H.O,DVVNL
Sirsa Kalar B.O,285130,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Madhogarh,jalaun,UTTAR PRADESH,,Madaripur S.O,Orai H.O,DVVNL
Sirsi B.O,284124,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,,lalitpur,UTTAR PRADESH,,Jakhaura S.O,Lalitpur H.O,DVVNL
Siya B.O,284301,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,jhansi,UTTAR PRADESH,,Chirgaon S.O (Jhansi),Jhansi H.O,DVVNL
Siya Kharka B.O,284203,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Garautha,jhansi,UTTAR PRADESH,,Garautha S.O,Jhansi H.O,DVVNL
Somai B.O,285201,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Konch,jalaun,UTTAR PRADESH,,Ait S.O,Orai H.O,DVVNL
Sonrai B.O,284404,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mahroni,lalitpur,UTTAR PRADESH,,Madawra S.O,Lalitpur H.O,DVVNL
Soot Bazar B.O,284204,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mauranipur,jhansi,UTTAR PRADESH,,Mauranipur S.O,Jhansi H.O,DVVNL
Subhashganj S.O,284002,S.O,Non-Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,jhansi,UTTAR PRADESH,0510-111111,,Jhansi H.O,DVVNL
Sunaya B.O,285205,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Konch,jalaun,UTTAR PRADESH,,Konch S.O (Jalaun),Orai H.O,DVVNL
Sunwaha B.O,284402,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mahroni,lalitpur,UTTAR PRADESH,,Banpur S.O (Lalitpur),Lalitpur H.O,DVVNL
Sutta B.O,284202,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Garautha,jhansi,UTTAR PRADESH,,Gursarai S.O,Jhansi H.O,DVVNL
Taindol B.O,284201,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,jhansi,UTTAR PRADESH,,Barwasagar S.O,Jhansi H.O,DVVNL
Talaud B.O,284303,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Moth,jhansi,UTTAR PRADESH,,Moth S.O,Jhansi H.O,DVVNL
Talbehat S.O,284126,S.O,Delivery,Jhansi,Agra,Uttar Pradesh,,lalitpur,UTTAR PRADESH,05175-232545,,Lalitpur H.O,DVVNL
Teehar B.O,285127,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Madhogarh,jalaun,UTTAR PRADESH,,Rampura S.O (Jalaun),Orai H.O,DVVNL
Tehrauli B.O,284202,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,,jhansi,UTTAR PRADESH,,Gursarai S.O,Jhansi H.O,DVVNL
Tera B.O,284403,B.O directly a/w Head Office,Delivery,Jhansi,Agra,Uttar Pradesh,Lalitpur,lalitpur,UTTAR PRADESH,,,Lalitpur H.O,DVVNL
Thanwara B.O,284501,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Lalitpur,lalitpur,UTTAR PRADESH,,Rajghat Dam Project S.O,Lalitpur H.O,DVVNL
Tikri B.O,285125,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Madhogarh,jalaun,UTTAR PRADESH,,Kuthond S.O,Orai H.O,DVVNL
Timron B.O,285001,B.O directly a/w Head Office,Delivery,Jhansi,Agra,Uttar Pradesh,,jalaun,UTTAR PRADESH,,,Orai H.O,DVVNL
Titra Khalilpur B.O,285205,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Konch,jalaun,UTTAR PRADESH,,Konch S.O (Jalaun),Orai H.O,DVVNL
Toomra B.O,285205,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Konch,jalaun,UTTAR PRADESH,,Konch S.O (Jalaun),Orai H.O,DVVNL
Tori B.O,284303,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Moth,jhansi,UTTAR PRADESH,,Moth S.O,Jhansi H.O,DVVNL
Tori Fatehpur S.O,284206,S.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mauranipur,jhansi,UTTAR PRADESH,05171-224521,,Jhansi H.O,DVVNL
Udaipura B.O,284402,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mahroni,lalitpur,UTTAR PRADESH,,Banpur S.O (Lalitpur),Lalitpur H.O,DVVNL
Udanpur B.O,285203,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Kalpi,jalaun,UTTAR PRADESH,,Baoni Estate S.O,Orai H.O,DVVNL
Ujyan B.O,284121,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jhansi,jhansi,UTTAR PRADESH,,Baragaon S.O (Jhansi),Jhansi H.O,DVVNL
Uldan B.O,284205,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mauranipur,jhansi,UTTAR PRADESH,,Ranipur S.O (Jhansi),Jhansi H.O,DVVNL
Umariya B.O,284406,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,,lalitpur,UTTAR PRADESH,,Narahat S.O,Lalitpur H.O,DVVNL
Umri S.O (Jalaun),285129,S.O,Delivery,Jhansi,Agra,Uttar Pradesh,,jalaun,UTTAR PRADESH,05168-280301,,Orai H.O,DVVNL
Uncha B.O,285127,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Madhogarh,jalaun,UTTAR PRADESH,,Rampura S.O (Jalaun),Orai H.O,DVVNL
Urgaon B.O,285123,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Jalaun,jalaun,UTTAR PRADESH,,Jalaun S.O,Orai H.O,DVVNL
Usargaon B.O,285202,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,,jalaun,UTTAR PRADESH,,Ata S.O,Orai H.O,DVVNL
Vijay Garh B.O,284205,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Mauranipur,jhansi,UTTAR PRADESH,,Ranipur S.O (Jhansi),Jhansi H.O,DVVNL
Waoli B.O,285125,B.O,Delivery,Jhansi,Agra,Uttar Pradesh,Madhogarh,jalaun,UTTAR PRADESH,,Kuthond S.O,Orai H.O,DVVNL
A G M Bhawali B.O,283151,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad ,firozabad,UTTAR PRADESH,,Sirsaganj S.O,Firozabad H.O,DVVNL
Achalpur B.O,205263,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Jeonti S.O,Mainpuri H.O,DVVNL
Agautha B.O,205247,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Ajitganj S.O,Mainpuri H.O,DVVNL
Aghar B.O,205262,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Bhongaon S.O,Mainpuri H.O,DVVNL
Ahimalpur B.O,205304,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhgaon,mainpuri,UTTAR PRADESH,,Kusmara S.O,Mainpuri H.O,DVVNL
Ahirwa B.O,205001,B.O directly a/w Head Office,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Ajitganj S.O,205247,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Akalabad Hasanpur B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Akbarpur Kutukpur B.O,283136,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana,firozabad,UTTAR PRADESH,,Jasrana S.O,Firozabad H.O,DVVNL
Alhadadpur B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Ali Nagar Kenjra B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Alipur Kherha B.O,205001,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Allau B.O,205247,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Ajitganj S.O,Mainpuri H.O,DVVNL
Alupura B.O,205265,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Kuraoli S.O,Mainpuri H.O,DVVNL
Amaur Nagla Jeevan B.O,283151,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Sirsaganj S.O,Firozabad H.O,DVVNL
Andani B.O,205264,B.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Karahal,mainpuri,UTTAR PRADESH,,Karhal S.O (Mainpuri),Mainpuri H.O,DVVNL
Anjani B.O,205001,B.O directly a/w Head Office,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Aramsarai B.O,205262,B.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Bhogaon,mainpuri,UTTAR PRADESH,,Bhongaon S.O,Mainpuri H.O,DVVNL
Arsara B.O,205304,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Kusmara S.O,Mainpuri H.O,DVVNL
Asafabad B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Asan B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Asua B.O,283141,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Shikohabad RS S.O,Firozabad H.O,DVVNL
Atirajpur B.O,205264,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,,mainpuri,UTTAR PRADESH,,Karhal S.O (Mainpuri),Mainpuri H.O,DVVNL
Auchha B.O,205268,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Kurra S.O,Mainpuri H.O,DVVNL
Auden Mandan B.O,205001,B.O directly a/w Head Office,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Auden Padaria B.O,205001,B.O directly a/w Head Office,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Aung B.O,205262,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Bhongaon S.O,Mainpuri H.O,DVVNL
Aunha B.O,205001,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Aurandh B.O,205267,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Sultanganj S.O (Mainpuri),Mainpuri H.O,DVVNL
Awadh Nagar S.O,205001,S.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Azmabad Araon B.O,205121,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Ghiror S.O,Firozabad H.O,DVVNL
Bachhagaon B.O,283204,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Tundla S.O,Firozabad H.O,DVVNL
Bachhela Bachheli B.O,283142,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasarana,firozabad,UTTAR PRADESH,,Pariyar S.O,Firozabad H.O,DVVNL
Badshahpur B.O,205121,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Ghiror S.O,Firozabad H.O,DVVNL
Baghai B.O,283103,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,,firozabad,UTTAR PRADESH,,Oef  Firozabad S.O,Firozabad H.O,DVVNL
Bahat B.O,283136,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana,firozabad,UTTAR PRADESH,,Jasrana S.O,Firozabad H.O,DVVNL
Baijua Khas B.O,205121,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Ghiror S.O,Firozabad H.O,DVVNL
Bajhera  Bujurg B.O,205121,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Ghiror S.O,Firozabad H.O,DVVNL
Bajhera B.O,205301,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Bewar S.O (Mainpuri),Mainpuri H.O,DVVNL
Balarpur B.O,205267,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Sultanganj S.O (Mainpuri),Mainpuri H.O,DVVNL
Balipur B.O,283142,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasarana,firozabad,UTTAR PRADESH,,Pariyar S.O,Firozabad H.O,DVVNL
Bamtapur B.O,205264,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Karhal,mainpuri,UTTAR PRADESH,,Karhal S.O (Mainpuri),Mainpuri H.O,DVVNL
